Tank,Salinity,Day,Treatment,Proportion Alive
C,20,28,Low,1.00
D,8,1,Low,1.00
D,8,2,Low,1.00
D,8,3,Low,1.00
D,8,4,Low,1.00
D,8,5,Low,0.83
D,8,6,Low,0.67
D,8,7,Low,0.33
D,8,8,Low,0.00
D,8,9,Low,0.00
D,8,10,Low,0.00
D,8,11,Low,0.00
D,8,12,Low,0.00
D,8,13,Low,0.00
D,8,14,Low,0.00
D,8,15,Low,0.00
D,8,16,Low,0.00
D,8,17,Low,0.00
D,8,18,Low,0.00
D,8,19,Low,0.00
D,8,20,Low,0.00
D,8,21,Low,0.00
D,8,22,Low,0.00
D,8,23,Low,0.00
D,8,24,Low,0.00
D,8,25,Low,0.00
D,8,26,Low,0.00
D,8,27,Low,0.00
D,8,28,Low,0.00
E,14,1,Low,1.00
E,14,2,Low,1.00
E,14,3,Low,1.00
E,14,4,Low,1.00
E,14,5,Low,1.00
E,14,6,Low,1.00
E,14,7,Low,1.00
E,14,8,Low,1.00
E,14,9,Low,1.00
E,14,10,Low,1.00
E,14,11,Low,1.00
E,14,12,Low,1.00
E,14,13,Low,1.00
E,14,14,Low,1.00
E,14,15,Low,1.00
E,14,16,Low,1.00
E,14,17,Low,1.00
E,14,18,Low,1.00
E,14,19,Low,1.00
E,14,20,Low,1.00
E,14,21,Low,1.00
E,14,22,Low,1.00
E,14,23,Low,1.00
E,14,24,Low,1.00
E,14,25,Low,1.00
E,14,26,Low,1.00
E,14,27,Low,1.00
E,14,28,Low,1.00
F,11,1,Low,1.00
F,11,2,Low,1.00
F,11,3,Low,1.00
F,11,4,Low,0.33
F,11,5,Low,0.33
F,11,6,Low,0.33
F,11,7,Low,0.33
F,11,8,Low,0.33
F,11,9,Low,0.33
F,11,10,Low,0.33
F,11,11,Low,0.33
F,11,12,Low,0.33
F,11,13,Low,0.33
F,11,14,Low,0.33
F,11,15,Low,0.33
F,11,16,Low,0.33
F,11,17,Low,0.33
F,11,18,Low,0.33
F,11,19,Low,0.33
F,11,20,Low,0.33
F,11,21,Low,0.33
F,11,22,Low,0.33
F,11,23,Low,0.33
F,11,24,Low,0.33
F,11,25,Low,0.33
F,11,26,Low,0.33
F,11,27,Low,0.33
F,11,28,Low,0.33
G,17,1,Low,1.00
G,17,2,Low,1.00
G,17,3,Low,1.00
G,17,4,Low,1.00
G,17,5,Low,1.00
G,17,6,Low,1.00
G,17,7,Low,1.00
G,17,8,Low,1.00
G,17,9,Low,1.00
G,17,10,Low,1.00
G,17,11,Low,1.00
G,17,12,Low,1.00
